type,id,question,answer,condition,
paragraph,RSC_OER_02324,What is the DOI of the paper where NiSe2/CeO2 nanocomposites are synthesized via hydrothermal synthesis followed by solid-state thermolysis and optimized for OER at 10 mA cm^-2?,https://doi.org/10.1039/D1SE00458A,2,
paragraph,RSC_OER_02430,What is the DOI of the paper that explores the use of flexible three-dimensional electrodes containing molybdenum compounds for full water splitting in acidic electrolytes and achieves an onset potential lower than -20 mV vs. RHE for HER and below +1.45 V vs. RHE for OER?,https://doi.org/10.1039/C8NR01572D,2,
paragraph,RSC_OER_03663,What is the DOI of the paper that proposes controlled charge transfer from cobalt to molybdenum carbide to manipulate electronic properties for enhanced oxygen evolution?,https://doi.org/10.1039/D0TA10915K,1,
paragraph,RSC_OER_03663,What is the DOI of the paper that investigates how cobalt incorporation transforms primarily HER-active molybdenum carbide into a bifunctional catalyst through controlled charge redistribution?,https://doi.org/10.1039/D0TA10915K,1,
paragraph,RSC_OER_03680,What is the DOI of the paper that studies metallic Ni3Se2 films as model catalysts to figure out structural change rules during hydrogen and oxygen evolution processes?,https://doi.org/10.1039/D2NJ04475G,1,
paragraph,Wiley_OER_02962,What is the DOI of the paper that investigates transition metal doping in noble metal catalysts using RuCl3 and IrCl3 precursors and examines their durability through ICP-MS measurements?,https://doi.org/10.1002/adma.201900510,2,o
paragraph,Wiley_OER_03085,"What is the DOI of the paper that challenges conventional understanding by showing that higher charge transfer resistance in LDH-graphene hybrid catalysts correlates with improved OER performance, explaining this through hydrophilicity and inhibition of graphene stacking?",https://doi.org/10.1002/elsa.202000009,1,
paragraph,Wiley_OER_03124,What is the DOI of the paper that explores how the valence state of iridium dopant (Ir³⁺ vs Ir⁴⁺) in NiFe-LDH affects both hydrogen and oxygen evolution reactions?,https://doi.org/10.1002/smll.202100203,1,
paragraph,Wiley_OER_03124,"What is the DOI of the paper that demonstrates how trivalent iridium ions can donate more electrons to neighboring oxygen atoms than tetravalent iridium ions in layered double hydroxides, improving water dissociation and boosting HER performance?",https://doi.org/10.1002/smll.202100203,1,o
paragraph,ACS_OER_01667,"What is the DOI of the paper that elucidates the chemical nature of Ni and Fe in electrocatalysts through XANES analysis, proposing a charge transfer mechanism that accounts for high catalytic activity through a specific bond type?",https://doi.org/10.1021/acs.jpcc.5b02685,2,
paragraph,ACS_OER_01667,"What is the DOI of the paper that challenges the long-held view about NiOOH phase activity for OER by investigating oxidation states through in situ spectroscopy, revealing a synergistic interaction between two metals mediated by an oxygen atom?",https://doi.org/10.1021/acs.jpcc.5b02685,2,
paragraph,ACS_OER_01506,"What is the DOI of the paper that examines partially amorphous hollow transition metal chalcogenide structures formed through nanoscale diffusion effects, revealing that the active catalyst phase transforms during operation while maintaining its morphological advantages?",https://doi.org/10.1021/acs.chemmater.7b02666,2,o
paragraph,ACS_OER_01525,"What is the DOI of the paper that explores how asymmetric electron spin density and charge polarization in co-doped carbon can enhance OER performance when combined with a semiconducting catalyst, while also providing a protective barrier against electrolyte degradation?",https://doi.org/10.1021/acs.jpcc.0c09544,2,o
paragraph,Wiley_OER_01332,"What is the DOI of the paper that examines how a green synthesis approach without templates or surfactants can create hierarchical chalcogenide structures with both solid cores and loose shells, providing insights into the relationship between multiscale porosity and catalyst stability?",https://doi.org/10.1002/celc.201701074,2,o
paragraph,Wiley_OER_00248,"What is the DOI of the paper that investigates how crystallinity affects the interface between catalyst and electrolyte, demonstrating that amorphous decoration on a perovskite backbone provides superior activity through enhanced contact area compared to crystalline counterparts?",https://doi.org/10.1002/celc.201600718,2,
paragraph,Wiley_OER_00248,"What is the DOI of the paper that combines the stability advantages of a layered double perovskite with the higher surface area of a transition metal hydroxide, illustrating how crystal ordering influences charge transfer and OER reaction pathways?",https://doi.org/10.1002/celc.201600718,2,o
paragraph,Wiley_OER_00368,"What is the DOI of the paper that develops a bifunctional catalyst through interface engineering between a metal phosphide and a layered double hydroxide, demonstrating how their electronic interaction facilitates charge transfer that benefits both hydrogen and oxygen evolution reactions?",https://doi.org/10.1002/adfm.201706847,2,o
paragraph,Wiley_OER_00368,"What is the DOI of the paper that reveals how a heterostructure promotes the in-situ formation of active phases during both cathodic and anodic processes, maintaining nanowire architecture while surface chemistry dynamically evolves to enhance catalytic performance?",https://doi.org/10.1002/adfm.201706847,2,o
paragraph,RSC_OER_02818,"What is the DOI of the paper that applies a three-dimensional carbonized polyaniline fiber structure as a support matrix for Fe-Co oxide nanoparticles, where electron redistribution between metal cores and graphitized carbon mediates oxygen adsorption energy to address OER kinetics limitations?",https://doi.org/10.1039/D0NJ05423B,2,
paragraph,Elsevier_OER_04607,"What is the DOI of the paper that develops a novel anode for efficient chlorine evolution in dilute chloride solutions by controlling OER overpotential, where cobalt oxide was selected as the electrode material with iridium added as a cocatalyst to improve stability?",https://doi.org/10.1016/j.jiec.2022.01.033,2,
paragraph,Elsevier_OER_06998,"What is the DOI of the paper that explores the counterintuitive discovery that mixed-phase cobalt oxide/cobalt monoxide demonstrates superior OER catalytic activity compared to pure-phase single oxides obtained through calcination, despite conventional wisdom favoring phase purity?",https://doi.org/10.1016/j.jallcom.2020.154919,2,
paragraph,Elsevier_OER_06998,"What is the DOI of the paper that synthesizes Co3O4 nanoparticles via solution combustion method where fuel-to-oxidizer ratio and pH were systematically varied, revealing that uncalcined samples with fuel-lean conditions exhibit enhanced OER performance due to their higher porosity and surface area?",https://doi.org/10.1016/j.jallcom.2020.154919,2,
paragraph,RSC_OER_00273,"What is the DOI of the paper that constructs a nanoforest-like heterojunction through a facile substrate etching and hydrothermal process, where electrons transfer from Cu2O to NiCo2O4 at the interface, converting relatively inert Cu(I) into active Cu(II) species for enhanced water splitting?",https://doi.org/10.1039/D1TA00710F,2,
paragraph,RSC_OER_00889,"What is the DOI of the paper that compares three different transition metal-based catalysts (CoMoO4, CoWO4, and Co3(VO4)2) after modification with FeOOH, concluding that Mo exhibits stronger electronic effects and better electrical conductivity than V and W in OER catalysis?",https://doi.org/10.1039/D2SE01553F,2,
paragraph,Elsevier_OER_00528,What is the DOI of the paper that describes a capillary-like porous structure with a roughened surface formed by modifying CoAl LDH with amorphous FeOOH through a simple iron chloride solution treatment?,https://doi.org/10.1016/j.ijhydene.2021.03.224,1,
paragraph,RSC_OER_01777,What is the DOI of the paper that reports a bifunctional catalyst NiFeOH/CoSx/NF made by first electrodepositing CoSx on nickel foam and then hydrothermally growing NiFe hydroxide nanosheets using Ni(NO3)2·6H2O and Fe(NO3)3·9H2O?,https://doi.org/10.1039/D0TA02697B,1,
paragraph,Wiley_OER_01644,"What is the DOI of the paper that compared four different phases of MnO2 (α-, β-, γ-, δ-) as supports for IrO2 catalysts for oxygen evolution?",https://doi.org/10.1002/celc.202001513,1,
paragraph,ACS_OER_00486,"What is the doi of the paper that attributes enhanced OER activity to edge-exposed NiO nanosheets and MoO₃–VC interfacial synergy, supported by SEM-derived morphology and electrochemical double-layer capacitance data?",https://doi.org/10.1021/acsaem.9b00665,2,
paragraph,ACS_OER_00494,"What is the doi of the paper that examines how dual N/S doping in NSG tunes electronic structure and facilitates water dissociation at Ni₂P sites, using DFT charge analysis and Nyquist plots from EIS measurements?",https://doi.org/10.1021/acs.chemmater.0c03543,2,
paragraph,ACS_OER_00494,"What is the doi of the paper that investigates Ni₂P nanocrystal confinement within NSG for bifunctional catalysis, validated by TEM imaging and long-term overall water splitting data in neutral pH?",https://doi.org/10.1021/acs.chemmater.0c03543,2,
paragraph,ACS_OER_00448,"What is the doi of the paper that demonstrates the electronic and catalytic impact of Co ion intercalation in NiFe LDH, supported by UV–vis bandgap narrowing and volcano-type DFT binding energy trends?",https://doi.org/10.1021/acs.jpcb.7b06935,2,
paragraph,ACS_OER_00448,"What is the doi of the paper that compares Co-substitution and Co-intercalation in NiFe LDH via EXAFS coordination changes and OER faradaic efficiencies, highlighting distinct structural motifs?",https://doi.org/10.1021/acs.jpcb.7b06935,2,
paragraph,ACS_OER_00466,What is the doi of the paper that constructs a hierarchical Co–Bi nanoarray via electrochemical conversion of CoS₂ and verifies its nanostructure through SEM-TEM analysis and stability over OER chronoamperometry?,https://doi.org/10.1021/acsami.7b00184,2,
paragraph,ACS_OER_00466,"What is the doi of the paper that reports multi-time-scale charge transport and mass activity in a Co–Bi nanoarray, examined through iR-compensated polarization curves and EIS-derived charge transfer resistances?",https://doi.org/10.1021/acsami.7b00184,2,
paragraph,ACS_OER_00470,"What is the doi of the paper that links improved OER in Co0.20Fe0.80OOH to surface-active site tuning and oxygen vacancy formation, combining XPS and Tafel analysis?",https://doi.org/10.1021/acsomega.8b01206,2,
paragraph,Elsevier_OER_04154,"What is the doi of the paper that investigates the transformation of Prussian blue analogues into hollow NiFe LDH nanoboxes, validated by operando XAS and correlated with EXAFS analysis of Fe-Co dual-site OER mechanisms?",https://doi.org/10.1016/j.nanoen.2019.103855,2,
paragraph,Elsevier_OER_04154,"What is the doi of the paper that attributes high OER activity to Fe-Co synergistic active sites in NiFe LDH nanoboxes, combining chronoamperometric durability and ECSA trends with nanoscale structural observations?",https://doi.org/10.1016/j.nanoen.2019.103855,2,
paragraph,Elsevier_OER_04134,"What is the doi of the paper that links NiFe(20Ni)-MOF/NFF nanosheet architecture to surface oxyhydroxide formation during activation, requiring both SEM morphology and XPS post-electrolysis data?",https://doi.org/10.1016/j.jcis.2022.01.140,2,
paragraph,Elsevier_OER_04148,"What is the doi of the paper that correlates high pseudocapacitive behavior of SnS/Ni foam with low charge transfer resistance, combining CV sweep analysis and EIS-derived Rct values?",https://doi.org/10.1016/j.matlet.2020.127958,2,
paragraph,Elsevier_OER_04148,What is the doi of the paper that confirms 10-hour OER stability of hydrothermally synthesized SnS/Ni foam via post-cycling redox feature retention and SEM morphology preservation?,https://doi.org/10.1016/j.matlet.2020.127958,2,
paragraph,Elsevier_OER_04153,What is the doi of the paper that attributes amorphization-induced OER enhancement in CoOOH/W18O49 to structural disorder shown in Raman spectra and lowered Tafel slope values?,https://doi.org/10.1016/j.apsusc.2021.150414,2,
paragraph,Elsevier_OER_04153,"What is the doi of the paper that shows optimized HER/OER bifunctionality in Act-CoOOH/W18O49/NF, integrating flat-band potential shifts from Mott–Schottky and EIS data across potentials?",https://doi.org/10.1016/j.apsusc.2021.150414,2,
paragraph,ACS_OER_02284,"what is the doi of the paper that simultaneously introduces nitrogen into a mesostructured carbon framework while forming in‑pore metallic cobalt nanoparticles via ammonia treatment, and attributes the enhanced oxygen‑evolution turnover to electronic coupling between the doped carbon and confined cobalt?",https://doi.org/10.1021/acsaem.9b01183,2,
paragraph,ACS_OER_02284,what is the doi of the paper that reveals cobalt‑catalysed graphitisation of a nitrogen‑doped carbon host and links the evolving support ordering to rising oxygen‑evolution activity compared with mesoporous Co₃O₄?,https://doi.org/10.1021/acsaem.9b01183,2,
paragraph,ACS_OER_02247,"what is the doi of the paper that engineers dandelion‑like NiCoP arrays grown on nanowires, showing how the radial architecture accelerates electrolyte diffusion and preserves its morphology during extended water‑splitting operation?",https://doi.org/10.1021/acsomega.1c01650,2,
paragraph,ACS_OER_02247,what is the doi of the paper that ascribes the bifunctional electrocatalytic activity of amorphous NiCoP to synergistic electronic interactions between Ni and Co revealed by post‑operando characterisation?,https://doi.org/10.1021/acsomega.1c01650,2,
paragraph,ACS_OER_02249,"what is the doi of the paper that demonstrates composition‑controlled Ni–Co–S–Se alloy nanocrystals acting as precatalysts, transforming in situ into mixed metal hydroxides whose activity varies with the sulfur‑to‑selenium ratio?",https://doi.org/10.1021/acsanm.8b01418,2,
paragraph,ACS_OER_02249,"what is the doi of the paper that reports a multi‑fold increase in oxygen‑evolution turnover when quaternary Ni–Co–S–Se nanocrystals are tuned to produce ultra‑small, highly conductive oxide domains after electrochemical activation?",https://doi.org/10.1021/acsanm.8b01418,2,
paragraph,ACS_OER_02253,what is the doi of the paper that builds a NiFe LDH/FeOOH heterostructure on nickel–iron foam and shows that interfacial electron transfer both promotes rapid NiOOH formation and suppresses competing chlorine oxidation in alkaline saline water?,https://doi.org/10.1021/acs.inorgchem.1c02903,2,
paragraph,ACS_OER_02253,"what is the doi of the paper that uses coupled Raman and XPS analyses to demonstrate that FeOOH domains electronically activate adjacent NiFe LDH layers, enabling multi‑day stable hydrogen and oxygen generation from simulated seawater?",https://doi.org/10.1021/acs.inorgchem.1c02903,2,
paragraph,ACS_OER_02257,what is the doi of the paper that grows a porous film of ultrathin NiFe phosphate nanotubes on nickel foam and shows that phosphate anions stabilise high‑spin Ni sites for long‑duration oxygen evolution?,https://doi.org/10.1021/acssuschemeng.9b03711,2,
paragraph,ACS_OER_02257,what is the doi of the paper that employs electron‑paramagnetic resonance to link oxygen‑vacancy‑rich amorphous NiFe‑Pi to accelerated redox cycling of Ni during water oxidation over hundreds of hours?,https://doi.org/10.1021/acssuschemeng.9b03711,2,
paragraph,ACS_OER_02258,what is the doi of the paper that powers overall water splitting with only a single household battery by exploiting redox buffering between a NiFe₂O₄ core and a NiFe LDH shell?,https://doi.org/10.1021/acsami.8b07835,2,
paragraph,ACS_OER_02263,what is the doi of the paper that employs an ionic liquid as both solvent and carbon source to generate Ni/Ni₃C core–shell nanospheres through a three‑stage mechanism of Ni‑catalysed carbonisation and carbide shell growth?,https://doi.org/10.1021/acsami.8b00716,2,
paragraph,ACS_OER_02263,"what is the doi of the paper that attributes enhanced oxygen‑evolution activity to electron‑rich Ni cores coupled through a conductive carbide shell, giving rise to a characteristic Gerischer impedance response?",https://doi.org/10.1021/acsami.8b00716,2,
paragraph,ACS_OER_02266,"what is the doi of the paper that fabricates a NiO/NiS heterostructure and shows that the buried semiconductor junction accelerates in‑situ NiOOH nucleation, outperforming individual oxide or sulfide analogues?",https://doi.org/10.1021/acsaem.9b00317,2,
paragraph,ACS_OER_02266,what is the doi of the paper that combines spectroscopic and impedance analyses to reveal how mixed‑anion coordination at the NiO|NiS interface tunes eg‑orbital occupancy and lowers charge‑transfer resistance during alkaline water oxidation?,https://doi.org/10.1021/acsaem.9b00317,2,
paragraph,ACS_OER_02270,what is the doi of the paper that links the semimetallic nature of the cubic polymorph of NiP₂ to superior hydrogen‑ and oxygen‑evolution performance inside a proton‑exchange‑membrane electrolyser compared with its semiconducting monoclinic counterpart?,https://doi.org/10.1021/acs.chemmater.9b00565,2,
paragraph,ACS_OER_02270,what is the doi of the paper that uses in‑situ synchrotron diffraction to show the irreversible cubic‑to‑monoclinic transformation of NiP₂ and discusses how the bulk phase change reshapes surface catalytic properties?,https://doi.org/10.1021/acs.chemmater.9b00565,2,
paragraph,ACS_OER_02274,"what is the doi of the paper that assembles a sheet‑on‑sheet NiSe@NiFe‑LDH heterostructure on nickel foam, where conductive NiSe electronically wires NiFe‑LDH layers to outperform RuO₂∥Pt/C in overall water splitting?",https://doi.org/10.1021/acsanm.2c03764,2,
paragraph,Elsevier_OER_02798,"what is the doi of the paper that develops a dual-function electrode composed of Co3Mo particles interfaced with CoMoO3 sheets, showing it can outperform conventional Pt/C and RuO2 catalysts in alkaline full-cell electrolysis at high current?",https://doi.org/10.1016/j.jmst.2022.07.044,2,
paragraph,Elsevier_OER_02798,what is the doi of the paper that investigates how strong electronic interactions at the junction between Co3Mo nanoparticles and a porous CoMoO3 matrix promote efficient hydrogen evolution by enhancing water splitting kinetics?,https://doi.org/10.1016/j.jmst.2022.07.044,2,
paragraph,Elsevier_OER_02769,what is the doi of the paper that constructs a vertically aligned CoMoS4 nanosheet layer over a sulfide-rich Ni3S2 underlayer and demonstrates their cooperative effect on boosting oxygen evolution in alkaline solution?,https://doi.org/10.1016/j.jpowsour.2019.01.090,2,
paragraph,Elsevier_OER_02769,"what is the doi of the paper that explores a hybrid catalytic platform where Ni3S2 improves charge transport to CoMoS4 nanosheets, enabling low-voltage water electrolysis in both HER and OER regimes?",https://doi.org/10.1016/j.jpowsour.2019.01.090,2,
paragraph,Elsevier_OER_02770,what is the doi of the paper that fabricates partially phosphidized cobalt nanowires with internal pores and examines how their 3D morphology influences catalytic behavior in acidic and basic water splitting?,https://doi.org/10.1016/j.apsusc.2019.03.250,2,
paragraph,Elsevier_OER_02796,"what is the doi of the paper that fine-tunes the crystallinity and surface defects of NiCo2O4 nanorods through sulfur treatment, and evaluates their bifunctional catalytic response in water splitting?",https://doi.org/10.1016/j.jelechem.2022.116098,2,
paragraph,Elsevier_OER_02796,what is the doi of the paper that links the presence of abundant grain boundaries and sulfur doping in spinel nanorods to improvements in charge transfer efficiency during electrolysis?,https://doi.org/10.1016/j.jelechem.2022.116098,2,
paragraph,Elsevier_OER_03489,what is the doi of the paper that embeds graphene-based quantum structures into nickel–cobalt phosphide nanosheets to manipulate charge flow pathways and achieve high-rate hydrogen production?,https://doi.org/10.1016/j.nanoen.2018.03.063,2,
paragraph,Elsevier_OER_03489,what is the doi of the paper that examines the synergy between graphene quantum dots and phosphide nanosheets in enabling efficient overall water electrolysis compared to oxide or wire-type analogs?,https://doi.org/10.1016/j.nanoen.2018.03.063,2,
paragraph,Elsevier_OER_03451,"what is the doi of the paper that shows how brief ultrasonic treatment alters the structure of NiFe LDH nanosheets, introducing defects and spacing that reduce onset potential for oxygen evolution?",https://doi.org/10.1016/j.crcon.2020.12.007,2,
paragraph,Elsevier_OER_03451,what is the doi of the paper that associates sonochemically induced lattice distortions in NiFe hydroxides with improved kinetics and a favorable change in the rate-limiting step for OER?,https://doi.org/10.1016/j.crcon.2020.12.007,2,
paragraph,Elsevier_OER_03456,what is the doi of the paper that identifies low-temperature-derived Co3O4 microspheres with fine nanostructure as superior OER catalysts due to their abundant surface cobalt sites?,https://doi.org/10.1016/j.apsusc.2022.153795,2,
paragraph,Elsevier_OER_03456,"what is the doi of the paper that reveals how Co3O4 nanoparticles prepared under mild heat retain small crystal sizes, which contribute to higher OER efficiency without requiring composite strategies?",https://doi.org/10.1016/j.apsusc.2022.153795,2,
paragraph,Elsevier_OER_03475,"what is the doi of the paper that combines layered NiFe hydroxides with a hybrid support of graphdiyne and graphene, showing that this interface engineering significantly boosts alkaline OER performance?",https://doi.org/10.1016/j.colsurfa.2021.128217,2,
paragraph,Elsevier_OER_03475,what is the doi of the paper that contrasts the catalytic behavior of NiFe-LDH on various carbon supports and finds that coupling to graphdiyne–graphene hybrids enables both fast kinetics and long-term stability?,https://doi.org/10.1016/j.colsurfa.2021.128217,2,
paragraph,Elsevier_OER_03622,what is the doi of the paper that builds nanoneedle-like CoMoO4 assemblies and links their porous internal architecture to enhanced OER and supercapacitor behavior through rapid electron-ion transport?,https://doi.org/10.1016/j.electacta.2017.11.012,2,
paragraph,Elsevier_OER_03622,what is the doi of the paper that compares hierarchical CoMoO4 with other oxide catalysts and attributes its superior OER activity to the nanosheet-based needle structure and high surface exposure?,https://doi.org/10.1016/j.electacta.2017.11.012,2,
paragraph,Wiley_OER_02044,what is the doi of the paper that links the bifunctional water‑splitting ability of Ni–Mo nitride heterostructures to charge redistribution at the metal∣nitride interfaces together with fast electron transport provided by nitrogen‑doped carbon nanotube scaffolds on carbon cloth?,https://doi.org/10.1002/celc.202000023,2,
paragraph,Wiley_OER_02044,what is the doi of the paper that describes a self‑supporting electrode where encapsulated Ni/MoN clusters and a three‑dimensional CNT network jointly enable the same substrate to drive both hydrogen and oxygen evolution under alkaline conditions?,https://doi.org/10.1002/celc.202000023,2,
paragraph,Wiley_OER_02054,"what is the doi of the paper that attributes superior oxygen evolution kinetics of cobalt oxide on N‑CNTs to ammonia‑driven nitrogen incorporation plus partial lattice reduction, which together improve conductivity and promote in‑situ transformation into active oxyhydroxide layers?",https://doi.org/10.1002/celc.201700109,2,
paragraph,Wiley_OER_02054,"what is the doi of the paper that contrasts NH₃‑treated and H₂‑treated CoOx/NCNT catalysts, showing that surface nitrogen enhances hydrophilicity and long‑term stability even though cobalt appears in a lower formal oxidation state after the ammonia step?",https://doi.org/10.1002/celc.201700109,2,
paragraph,Wiley_OER_02068,what is the doi of the paper that designs seaweed‑like Ni₃S₂@MoS₂@Ni₃Si₂ hybrids whose intertwined sulfide interfaces cooperate with a conductive silicide backbone to minimise charge‑transfer resistance while providing abundant edge sites for both half‑reactions?,https://doi.org/10.1002/cctc.202201412,2,
paragraph,Wiley_OER_02068,"what is the doi of the paper that achieves simultaneous hydrogen and oxygen catalysis by in‑situ growing hierarchical sulfide–silicide structures on nickel foam, thereby combining mechanical adhesion with accelerated gas release pathways?",https://doi.org/10.1002/cctc.202201412,2,
paragraph,Wiley_OER_02081,"what is the doi of the paper that fabricates defect‑rich Co carbonate hydroxide cores enveloped by CoSe nanosheets, and explains how their heterointerface together with a nickel‑foam current collector boosts electron migration during overall water splitting?",https://doi.org/10.1002/ente.201800741,2,
paragraph,Wiley_OER_02081,what is the doi of the paper that employs a two‑step hydrothermal route to engineer oxygen‑vacancy‑containing CoCO₃·0.5H₂O@CoSe nanowires whose synergistic lattice strain and conductive support underpin robust bifunctional performance?,https://doi.org/10.1002/ente.201800741,2,
paragraph,Wiley_OER_03085,"what is the doi of the paper that reports an unusual trend in Co₂Fe‑LDH/‑N‑graphene hybrids where increasing hydroxide loading simultaneously raises catalytic activity and charge‑transfer resistance, an effect traced to hydrophilic LDH layers preventing graphene restacking?",https://doi.org/10.1002/elsa.202000009,2,
paragraph,Wiley_OER_03085,what is the doi of the paper that confirms by rotating‑ring–disk studies that the most active LDH/graphene composite follows a four‑electron oxygen pathway despite exhibiting higher interfacial impedance than leaner formulations?,https://doi.org/10.1002/elsa.202000009,2,
paragraph,Wiley_OER_03101,what is the doi of the paper that introduces a chemically robust bimetallic squarate MOF whose one‑dimensional Ni–Fe hydroxide strips offer open channels for electrolyte diffusion while simultaneously acting as built‑in catalytic sites?,https://doi.org/10.1002/aenm.202202964,2,
paragraph,Wiley_OER_03101,"what is the doi of the paper that shows tuning the Ni∶Fe ratio in a squarate framework optimises both structural stability and electron transport, enabling a porous MOF to rival layered double hydroxides in oxygen evolution?",https://doi.org/10.1002/aenm.202202964,2,
paragraph,Wiley_OER_03124,"what is the doi of the paper that demonstrates trivalent iridium dopants donate more electron density to neighbouring oxygen in NiFe‑LDH than tetravalent iridium, thus accelerating alkaline water dissociation and hydrogen desorption?",https://doi.org/10.1002/smll.202100203,2,
paragraph,Wiley_OER_03124,"what is the doi of the paper that generalises the above valence‑state effect to ruthenium and platinum dopants, concluding that oxidation state selection is a critical design lever for layered hydroxide electrocatalysts?",https://doi.org/10.1002/smll.202100203,2,
paragraph,Nature_OER_00214,"what is the doi of the paper that upcycles yeast biomass into multi‑heteroatom‑doped carbon hosting both ruthenium single atoms and nanoparticles, enabling sustained solar‑driven water splitting through coupled Fe²⁺∕Fe⁴⁺ redox chemistry at the anode?",https://doi.org/10.1038/s41893-020-0509-6,2,
